LineItem,Parent,GrandParent
Leasehold Improvements,Leasehold Improvements,OTHER INCOME & EXPENSES
Partners capital account - SF,Other Income & Expenses,Other Income & Expenses
License Fee,Legal & Accounting,GENERAL & ADMINISTRATIVE
BOH Supplies / accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
POS,GENERAL & ADMINISTRATIVE,GENERAL & ADMINISTRATIVE
BOA Payroll - 2879,TOTAL WAGES - B.O.H. Salaried,STAFF COST
Electricity,OCCUPANCY,OCCUPANCY
Code & Expeditor,TOTAL STAFF COST,STAFF COST
Sales Tax Payable,Sales Tax 2015,TOTAL OTHER STAFF COST
Travel & Entertainment,Travel & Entertainment,Travel & Entertainment
Cost of Goods Sold,TOTAL COST OF GOODS SOLD,COST OF GOODS SOLD
Accumulated Depreciation,PL Depreciation & Amortization,TOTAL OTHER EXPENSE
Cleaning Contract Services,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Written Off,Written Off,Written Off
Staff Welfare,OTHER STAFF COST,OTHER STAFF COST
Salvatore Marcello,TOTAL WAGES - F.O.H. Wages,STAFF COST
Wages - F.O.H. Salaries,STAFF COST,STAFF COST
Ask My Accountant,Ask My Accountant,Ask My Accountant
Linen & Laundry,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
BOH - Line Cook,Wages - B.O.H. Salaries,Wages - B.O.H. Salaries
BOH - Stewards/ Porters,Total Wages - B.O.H. Wages,STAFF COST
*Retained Earnings,Other Income & Expenses,Other Income & Expenses
LICENSE FEE,Ask My Accountant,OTHER STAFF COST
Office Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Kitchern Equipment,Total Wages - B.O.H. Salaried,STAFF COST
BOH - Prep Cooks,Wages - B.O.H. Wages,STAFF COST
REIMBURSEMENT EXPENSES,Reimbursements,TOTAL OTHER STAFF
Cash - Wages,STAFF COST,STAFF COST
Menus,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
*Undeposited Funds,Other Income & Expenses,Other Income & Expenses
Office,ADMINISTRATION,ADMINISTRATION
Bad Debts,FINANCIAL COST,FINANCIAL COST
Amex #81040- Salvatore,Total Wages - F.O.H. Wages,STAFF COST
Members Contributions,Other Income,Other Income & Expenses
Other Income,Other Income & Expenses,Other Income & Expenses
Fuel Charges,Total Operating Expenses,TOTAL OTHER STAFF COST
Loan From MALEX LLC,Other Income & Expenses,Other Income & Expenses
Legal Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Kitchen,BOH SALARIES,STAFF COST
UNDER / OVER,Extra/Short,TOTAL OTHER STAFF COST
Payroll Tax Payable,Total Employer Taxes,Total Employer Benefits
4,Extra/Short,TOTAL OTHER STAFF COST
Water,OCCUPANCY,OCCUPANCY
Owner Supplied,Total Cost of Sales - Other Beverages,Gross Profit - Beverages
Staff Accommodation,OTHER STAFF COST,OTHER STAFF COST
IC Mamo Miami,Other Income & Expenses,Other Income & Expenses
Revenue - Food,REVENUE,REVENUE
P & L Amortization,PL Depreciation & Amortization,PL Depreciation & Amortization
Entertainment Meals,ADVERTISING/PROMOTION,ADVERTISING/PROMOTION
Branding & Design,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Commission Expense,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
IT Cost,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Bank - 5138,Interest on Loans,FINANCIAL COST
Citi Bank-7748,TOTAL FINANCIAL COSTS,FINANCIAL COST
Revenue - Other Beverages,TOTAL REVENUE,REVENUE
Chase Card # 7714,Total Wages - B.O.H. Salaried,STAFF COST
Reconciliation Discrepancies,Total Other Expenses,TOTAL OTHER STAFF COST
